"obs_id","obs_name","lat","lon","gov_agency","attn_level","warn_level","danger_level","river","rel_river","opened_at","first_at","last_at","data_key","created_at","updated_at"
"1016607","용인시(월촌교)","37.3325","127.23944444444444","환경부","1.5","4.2","5.0","한강","한강","2012-10-15","2012092118:00:00","2024080713:00:00","2024080714:01:29","2012092118:00:00","2024080713:00:00"
"1016650","광주시(경안교)","37.406666666666666","127.26305555555555","환경부","1.5","4.0","5.0","경안천","한강","1985-01-01","1984090814:00:00","2024080713:00:00","2024080714:01:29","1984090814:00:00","2024080713:00:00"
"1016660","광주시(섬뜰교)","37.399166666666666","127.29277777777777","환경부","2.5","4.4","5.2","곤지암천","한강","2000-03-01","2002062508:00:00","2024080713:00:00","2024080714:01:29","2002062508:00:00","2024080713:00:00"
"1016670","광주시(서하교)","37.428888888888885","127.30833333333334","환경부","3.5","4.0","4.8","경안천","한강","2013-12-31","2013122711:00:00","2024080713:00:00","2024080714:01:29","2013122711:00:00","2024080713:00:00"
"1016695","광주시(광동교)","37.471111111111114","127.29416666666667","환경부","26.0","27.0","27.7","경안천","한강","2006-10-23","2006120219:00:00","2024080713:00:00","2024080714:01:29","2006120219:00:00","2024080713:00:00"
"1018610","남양주시(팔당대교)","37.547777777777775","127.23944444444444","환경부","7.0","9.5","12.7","한강","한강","1995-08-01","1994121413:00:00","2024080713:00:00","2024080714:01:29","1994121413:00:00","2024080713:00:00"
"1018620","남양주시(부평교)","37.74027777777778","127.19666666666667","환경부","1.5","3.0","4.0","왕숙천","한강","2002-10-16","2002101700:00:00","2024080713:00:00","2024080714:01:29","2002101700:00:00","2024080713:00:00"
"1018623","남양주시(연평대교)","37.71","127.18222222222222","환경부","1.8","2.8","3.5","진건천","한강","2002-10-16","2002101700:00:00","2024080713:00:00","2024080714:01:29","2002101700:00:00","2024080713:00:00"
"1018625","남양주시(내곡교)","37.69166666666666","127.16472222222222","환경부","2.5","3.5","4.0","왕숙천","한강","2002-10-16","2002101700:00:00","2024080713:00:00","2024080714:01:29","2002101700:00:00","2024080713:00:00"
"1018630","남양주시(진관교)","37.65","127.15194444444445","환경부","0.4","2.9","3.5","왕숙천","한강","1984-04-01","1984070301:00:00","2024080713:00:00","2024080714:01:29","1984070301:00:00","2024080713:00:00"
"1018635","남양주시(퇴계원리)","37.644999999999996","127.13805555555557","환경부","2.0","2.8","3.6","용암천","한강","2002-10-16","2002101700:00:00","2024080713:00:00","2024080714:01:29","2002101700:00:00","2024080713:00:00"
"1018638","남양주시(왕숙교)","37.603611111111114","127.14805555555556","환경부","4.9","6.0","8.0","왕숙천","한강","2016-11-07","2016110901:00:00","2024080713:00:00","2024080714:01:29","2016110901:00:00","2024080713:00:00"
"1018640","서울시(광진교)","37.54555555555555","127.11027777777777","환경부","3.0","8.6","11.1","한강","한강","1962-02-01","1963071710:00:00","2024080713:00:00","2024080714:01:29","1963071710:00:00","2024080713:00:00"
"1018650","성남시(궁내교)","37.37","127.10833333333333","환경부","2.0","3.3","4.2","탄천","한강","2002-10-16","2002101700:00:00","2024080713:00:00","2024080714:01:29","2002101700:00:00","2024080713:00:00"
"1018655","서울시(대곡교)","37.46888888888889","127.12249999999999","환경부","3.8","5.8","7.1","탄천","한강","1984-04-01","1984070301:00:00","2024080713:00:00","2024080714:01:29","1984070301:00:00","2024080713:00:00"
"1018658","서울시(대치교)","37.498333333333335","127.07444444444444","환경부","3.0","8.7","11.1","양재천","한강","2015-12-30","2015123010:00:00","2024080713:00:00","2024080714:01:29","2015123010:00:00","2024080713:00:00"
"1018662","서울시(청담대교)","37.52305555555555","127.06277777777777","환경부","3.0","10.1","13.1","한강","한강","2000-03-01","2000101700:00:00","2024080713:00:00","2024080714:01:29","2000101700:00:00","2024080713:00:00"
"1018665","의정부시(신곡교)","37.73527777777778","127.05333333333333","환경부","2.5","5.1","6.0","중랑천","한강","2002-10-16","2002101700:00:00","2024080713:00:00","2024080714:01:29","2002101700:00:00","2024080713:00:00"
"1018669","서울시(창동교)","37.65277777777778","127.05416666666666","환경부","4.5","5.1","6.5","중랑천","한강","2015-12-30","2015123010:00:00","2024080713:00:00","2024080714:01:29","2015123010:00:00","2024080713:00:00"
"1018670","서울시(월계2교)","37.62416666666667","127.05","환경부","2.0","3.9","5.1","우이천","한강","2002-10-16","2002101700:00:00","2024080713:00:00","2024080714:01:29","2002101700:00:00","2024080713:00:00"
"1018675","서울시(중랑교)","37.5925","127.07055555555556","환경부","2.4","5.0","6.5","중랑천","한강","1990-11-01","1991050217:00:00","2024080713:00:00","2024080714:01:29","1991050217:00:00","2024080713:00:00"
"1018680","서울시(잠수교)","37.51722222222222","126.99527777777777","환경부","3.9","5.5","6.2","한강","한강","1984-06-23","1984070301:00:00","2024080713:00:00","2024080714:01:29","1984070301:00:00","2024080713:00:00"
"1018683","서울시(한강대교)","37.51444444444444","126.95666666666666","환경부","3.9","8.5","10.5","한강","한강","1918-08-01","1918081606:00:00","2024080713:00:00","2024080714:01:29","1918081606:00:00","2024080713:00:00"
"1018690","안양시(충훈1교)","37.40472222222222","126.90305555555557","환경부","1.0","3.0","4.1","안양천","한강","1984-04-01","1984070308:00:00","2024080713:00:00","2024080714:01:29","1984070308:00:00","2024080713:00:00"
"1018692","서울시(신림5교)","37.467222222222226","126.9475","환경부","3.8","4.3","4.8","도림천","한강","2023-06-29","2023062917:00:00","2024080713:00:00","2024080714:01:29","2023062917:00:00","2024080713:00:00"
"1018693","광명시(시흥대교)","37.452222222222225","126.89333333333335","환경부","5.0","5.5","6.5","안양천","한강","2002-10-16","2002101700:00:00","2024080713:00:00","2024080714:01:29","2002101700:00:00","2024080713:00:00"
