"obs_id","obs_name","lat","lon","gov_agency","addr","etc_addr"
"20184310","산청군(실매리)","35-29-30","127-55-56","한국수자원공사","경상남도 산청군","차황면 실매리"
"20184320","산청군(하정리)","35-19-12","127-59-45","한국수자원공사","경상남도 산청군","신안면 하정리"
"20184340","구례군(문수리)","35-17-36","127-31-44","환경부","전라남도 구례군","토지면 문수리"
"20184350","산청군(장천리)","35-24-32","127-59-28","한국수자원공사","경상남도 산청군","신등면 장천리 484-3"
"20184360","산청군(향양리)","35-33-16","127-51-44","한국수자원공사","경상남도 산청군","생초면 향양리 728-2"
"20194020","진주시(장대동)","35-11-26","128-05-12","한국수자원공사","경상남도 진주시","장대동 356-17"
"20194030","진주시(운천리)","35-10-24","128-15-48","환경부","경상남도 진주시","일반성면 운천리 867"
"20194040","함안군(대사교)","35-15-18","128-25-34","환경부","경상남도 함안군","함안면 대산리 1242-2(대사교)"
"20194050","의령군(정암교)","35-18-48","128-17-43","환경부","경상남도 의령군","의령읍 정암리 430-43 ((구)정암교)"
"20194060","의령군(성산리)","35-23-27","128-25-45","환경부","경상남도 의령군","지정면 성산리 1106-4"
"20194070","의령군(칠곡초교)","35-20-28","128-11-41","환경부","경상남도 의령군","칠곡면 외조리 85-2 (칠곡초교)"
"20194075","고성군(두문교)","35-05-55","128-11-27","환경부","경상남도 고성군","영오면 오서리 1611-1 (두문교)"
"20204010","창녕군(영산면사무소)","35-27-13","128-31-40","환경부","경상남도 창녕군","영산면 동리 137-3 (영산면사무소)"
"20204020","창원시(수산대교)","35-21-55","128-42-51","환경부","경상남도 창원시","의창구 대산면 모산리 701 (수산대교)"
"20204030","창녕군(청암리)","35-23-44","128-36-03","환경부","경상남도 창녕군","부곡면 청암리 1110 (청암취수장옆)"
"20204040","함안군(계내리)","35-23-00","128-29-01","환경부","경상남도 함안군","칠서면 계내리 343 (진동양수장옆)"
"20204050","밀양시(내진초교)","35-31-22","128-39-07","환경부","경상남도 밀양시","무안면 양효리 349 (구 내진초교)"
"20214010","밀양2","35-29-00","128-45-00","기타","경상남도 밀양군","밀양읍 내일동"
"20214020","밀양시(남포동)","35-27-40","128-47-07","환경부","경상남도 밀양시","남포동 408"
"20214030","밀양시(용전리)","35-33-57","128-51-45","환경부","경상남도 밀양시","산내면 용전리 산192-1"
"20214040","청도군(삼신리)","35-40-51","128-43-34","환경부","경상북도 청도군","화양읍 삼신리 1110-10"
"20214050","경산시(곡신리)","35-47-31","128-52-21","환경부","경상북도 경산시","용성면 곡신리 858-36"
"20214060","경주시(내칠리)","35-46-27","129-01-25","한국수자원공사","경상북도 경주시","산내면 내칠리 1051-1"
"20214090","청도군(현리리)","35-38-51","128-35-40","환경부","경상북도 청도군","현리리 879-7"
"20214100","양산시(선리)","35-31-06","129-00-10","한국수자원공사","경상남도 양산시","원동면 선리 202"
"20214110","밀양시(밀양댐)","35-29-03","128-55-47","한국수자원공사","경상남도 밀양시 단장면","고례2길 79-10"
"20214120","청도군(신원리)","35-39-38","129-00-14","한국수자원공사","경상북도 청도군","운문면 신원리"
"20214130","청도군(운문댐)","35-42-55","128-42-55","한국수자원공사","경상북도 청도군","운문면 대천리"
"20214135","경주시(대현리)","35-43-36","129-00-53","한국수자원공사","경상북도 경주시","산내면 대현리 3127-32"
"20214140","울산시(이천리)","35-33-52","129-00-53","한국수자원공사","경상북도 울주군","상북면 이천리 254-3"
"20224010","양산시(상북면사무소)","35-25-06","129-03-52","환경부","경상남도 양산시","상북면 석계리 272-20 (상북면사무소 옥상)"
"20224020","금천","35-25-00","128-54-00","기타","경상북도 청도군","금천면    동곡리    금천면사무소"
"20224030","김해시(전하동)","35-12-01","128-51-47","환경부","경상남도 김해시","전하동 1227-2"
"20224040","양산시(양산교)","35-21-27","129-02-10","환경부","경상남도 양산시","신기동 600 (양산교)"
"20224050","밀양시(삼랑진교)","35-22-57","128-49-18","환경부","경상남도 밀양시","삼랑진읍 삼랑리 854 (삼랑진교)"
"20224060","부산시(구포대교)","35-12-13","128-59-37","환경부","부산광역시 북구","구포동 1065-1 (구포대교)"
"21014010","포항시(현내리)","36-04-32","129-11-43","환경부","경상북도 포항시","북구 기계면 현내리 1112"
"21014020","경주시(시래동)","35-46-22","129-18-14","환경부","경상북도 경주시","시래동 945-49 (시래교 인근)"
