"obs_id","rel_river","opened_at","first_at","last_at"
"20064010","낙동강","1915-12-01","19800616","20240722"
"20064020","낙동강","1969-07-01","19830620","20240722"
"20074010","낙동강","1996-10-15","19961015","20240722"
"20084010","낙동강","1981-01-01","19870601","20240722"
"20084020","낙동강","1957-06-01","19800625","20240722"
"20084030","낙동강","1961-09-01","19800625","20240722"
"20084050","낙동강","1982-07-03","19820723","20240722"
"20084060","낙동강","1982-07-03","19820723","20240722"
"20084070","낙동강","1982-07-03","19820723","20240722"
"20084080","낙동강","1990-03-12","20050124","20061231"
"20084090","낙동강","1982-07-03","19820728","20240722"
"20084100","낙동강","1982-07-03","19820723","20240722"
"20084110","낙동강","1982-07-03","19820722","20240722"
"20084120","낙동강","1982-07-03","19820723","20110418"
"20084130","낙동강","1982-07-03","19820723","20240722"
"20084140","낙동강","1998-03-01","19980301","20240722"
"20084150","낙동강","2005-01-24","20050124","20240722"
"20084160","낙동강","2005-01-24","20050124","20240722"
"20084170","낙동강","2010-01-02","20100928","20240722"
"20084180","낙동강","1982-07-30","20100928","20240722"
"20094010","낙동강","1995-04-01","19950401","20240722"
"20094020","낙동강","1996-10-15","19961015","20240722"
"20104010","낙동강","1915-12-01","19800710","20240722"
"20104020","낙동강","1961-08-01","19830707","20240722"
"20104030","낙동강","1962-09-01","19800625","20240722"
"20104040","낙동강","1988-01-01","19880101","20240722"
"20104050","낙동강","1980-01-01","19870601","20240722"
"20104060","낙동강","2013-05-31","20130905","20240722"
"20114010","낙동강","1927-06-01","19830620","20240722"
"20114020","낙동강","1962-11-01","19830620","20240722"
"20114030","낙동강","1995-04-01","19950401","20240722"
"20114040","낙동강","1996-10-15","19961015","20240722"
"20124010","낙동강","1962-01-01","19870601","20240722"
"20124020","낙동강","1961-08-01","19830620","20240722"
"20124030","낙동강","1962-11-01","19800624","20240722"
"20124035","낙동강","1996-11-01","20150714","20240722"
"20124037","낙동강","1996-11-01","20150714","20240722"
"20124040","낙동강","1964-09-01","19800625","20240722"
"20124050","회야ㆍ수영","1971-01-01","NULL","NULL"
"20124060","낙동강","1917-01-01","19820723","19931201"
"20124070","낙동강","1982-07-03","19820723","20240722"
"20124080","낙동강","1988-01-01","19880101","20240722"
"20124090","낙동강","1988-01-01","19880101","20240722"
"20124100","낙동강","1988-01-01","19880601","20240722"
"20124118","낙동강","1995-09-01","20150702","20240722"
"20124120","낙동강","1995-10-01","19951001","20240722"
"20124130","낙동강","1996-10-15","19961015","20240722"
"20124150","낙동강","2000-07-08","20000727","20240722"
"20124160","낙동강","2002-01-01","20020319","20240722"
"20124170","낙동강","2002-01-01","20020319","20240722"
"20124190","낙동강","2004-08-02","20150714","20240722"
"20124200","낙동강","2014-07-01","20150618","20240722"
"20124210","낙동강","2014-07-01","20150618","20240722"
"20134010","낙동강","1962-06-01","19800625","20240722"
"20134020","낙동강","1962-11-01","19800713","20240722"
"20134030","낙동강","1988-01-01","19880101","20240722"
"20134040","낙동강","1998-03-01","19980301","20240722"
"20144010","낙동강","1993-01-01","19930101","20240722"
"20144020","낙동강","1995-04-01","19950401","20240722"
"20144030","낙동강","1996-10-15","19961015","20240722"
"20154010","낙동강","1926-11-01","19830620","20240722"
"20154020","낙동강","1984-04-03","19840823","20240722"
"20154030","낙동강","1987-10-01","19871001","20240722"
"20154040","낙동강","1987-10-01","19871001","20240722"
"20154050","낙동강","1987-10-01","19871001","20240722"
"20154060","낙동강","1987-10-01","19871001","20240722"
"20154070","낙동강","1992-07-15","19920715","20240722"
"20154080","낙동강","1992-07-15","19920715","20240722"
"20164020","낙동강","1987-10-01","19871001","20240722"
"20164030","낙동강","1996-08-01","19960801","20240722"
"20174010","낙동강","1962-06-01","19800728","20240722"
"20174020","낙동강","1962-11-01","19810628","20240722"
"20174030","낙동강","1988-01-01","19880101","20240722"
"20174040","낙동강","1996-10-15","19961015","20240722"
"20184020","낙동강","1915-12-01","19800625","19931201"
"20184040","낙동강","1936-11-01","NULL","NULL"
"20184060","낙동강","1965-03-01","19800625","20240722"
"20184070","낙동강","1961-08-01","19800625","20240722"
"20184100","낙동강","1965-10-01","19800601","20240722"
"20184110","낙동강","1965-10-01","19800625","20240722"
"20184120","낙동강","1965-10-01","19800625","20030115"
"20184130","낙동강","1976-03-13","19870601","20240722"
"20184140","낙동강","1976-03-13","19870601","20240722"
"20184150","낙동강","1985-03-01","19850901","20240722"
"20184160","낙동강","1985-03-01","19850621","20240722"
"20184170","낙동강","1987-04-01","19870601","20240722"
"20184180","낙동강","1987-06-01","19870601","20240722"
"20184190","낙동강","1987-06-01","19950101","20240722"
"20184200","낙동강","1994-11-01","19950101","20240722"
"20184210","낙동강","1994-11-01","19950101","20240722"
"20184220","낙동강","1994-11-01","19950101","20240722"
"20184230","낙동강","1994-11-01","19950101","20240722"
"20184240","낙동강","1994-11-01","19950101","20240722"
"20184250","낙동강","1994-11-01","19950101","20240722"
"20184260","낙동강","1994-11-01","19950101","20240722"
"20184270","낙동강","1994-11-01","19950101","20240722"
"20184280","낙동강","1994-11-01","19950101","20240722"
"20184290","낙동강","1994-11-01","19950101","20240722"
"20184300","낙동강","1994-11-01","19950101","20240722"
"20184310","낙동강","1994-11-01","19950101","20240722"
"20184320","낙동강","1994-11-01","19950101","20240722"
